Open|High|Low|Volume|Google Trending|Close
135.3|135.98|132.1|-|19|134.21
134.44|147.49|134|-|17|144.54
144|146.93|134.05|-|16|139
139|139.89|107.72|-|20|116.99
116.38|125.6|92.28|-|21|105.21
106.25|108.13|79.1|-|22|97.75
98.1|115|92.5|-|17|112.5
112.9|118.8|107.14|-|17|115.91
115.98|124.66|106.64|-|17|112.3
112.25|113.44|97.7|-|15|111.5
109.6|115.78|109.6|-|14|113.57
113.2|113.46|109.26|-|15|112.67
112.8|122|111.55|-|14|117.2
117.7|118.68|113.01|-|13|115.24
115.64|117.45|113.44|-|13|115
114.82|118.7|114.5|-|15|117.98
117.98|119.8|110.25|-|14|111.5
111.4|115.81|103.5|-|16|114.22
114.22|118.76|112.2|-|15|118.76
118.21|125.3|116.57|-|15|123.02
123.5|125.25|122.3|-|14|123.5
123.21|124.5|119.57|-|16|121.99
122.5|123.62|120.12|-|15|122
122.02|123|121.21|-|13|122.88
122.89|124|122|-|12|123.89
123.8|126.93|123.1|-|11|126.7
126.3|133.85|125.72|-|12|133.2
133.1|133.22|128.9|-|11|131.98
131.99|136|130.62|-|10|133.48
133.5|135.47|124.7|-|11|129.75
129.77|130.58|125.6|-|14|129
129|132.59|127.66|-|15|132.3
132.25|132.25|127|-|13|128.8
128.8|129.9|126.4|-|12|129
128.81|129.78|127.2|-|11|129.3
129.3|129.4|115.05|-|9|122.29
122.5|122.5|116|-|8|122.22
120.74|123.84|119.1|-|8|121.42
121.4|123.47|119.9|-|8|121.65
121.9|123.1|117.25|-|7|118
118.97|119|106.42|-|7|111.5
111|111.42|107.3|-|7|108.3
107.89|108.99|88.5|-|9|100
100.44|110.1|95|-|8|106.35
106.35|109.6|104|-|9|108.9
109|111.79|106.73|-|8|108.15
108.78|110.3|100.53|-|7|104
103.95|104.7|98|-|7|99.98
100|103.7|98|-|7|99.99
99.8|101.6|98.95|-|6|99.51
99.9|102.21|99|-|7|101.7
101.95|111.11|101.03|-|7|107.4
107.05|110.22|105.75|-|7|108.25
108.25|114.3|107.5|-|7|110.15
111.29|114.99|107.69|-|6|109.5
109.5|109.96|107.51|-|7|108.3
108.2|108.8|106.23|-|7|107.6
107.9|108.33|100.98|-|8|102.74
102.09|106.47|101.01|-|8|103.95
103.33|105.49|102.79|-|6|104
104|104|101.1|-|7|101.44
101.74|101.74|92.33|-|7|94.65
94.66|99.99|93|-|7|94.99
95|98.12|94.22|-|9|96.61
97.51|97.66|86.3|-|8|88.05
88.05|92.3|87.51|-|13|90.13
90.41|90.98|76.98|-|9|77.53
78.89|83.11|72|-|8|80.53
79.99|80|65.53|-|8|68.43
68.5|75|66.82|-|7|70.28
68.75|74.56|66.62|-|8|74.56
76.5|80|72.6|-|7|76.52
76|78.3|72.52|-|7|76.69
76.72|87|76.2|-|7|86.76
88|90.28|85.08|-|7|88.98
88.98|104|88.17|-|7|93.59
93.99|98.25|88.06|-|7|98.13
98.7|98.7|92.86|-|6|94.69
93.61|101.9|93.11|-|6|98.4
98.89|99.86|96.14|-|6|97.45
96.71|99.97|96.18|-|6|98.5
98.5|98.8|86.2|-|6|90.58
90.07|95.2|87.8|-|5|92.17
92|93.1|89.27|-|6|89.39
89.82|91.95|88|-|6|90.76
92|92|90.08|-|7|91.61
91.6|96.82|91.6|-|7|95.56
95.56|95.99|93|-|7|94.51
94.5|97.33|93.87|-|7|96.9
96.95|97.47|96|-|6|96.02
96.02|97|93|-|6|94.12
94.4|100.58|94|-|6|99.76
98.6|102.5|98.45|-|6|101.2
101.49|107.99|100.47|-|8|107.99
107.95|111.34|103.88|-|8|106.09
106.21|108|103.01|-|6|104
104.86|108|101.21|-|6|104.5
104.5|105.78|102|-|6|104
104.95|105.95|103.52|-|7|105.14
105.12|107.77|105|-|7|106.22
106.72|107.38|105.56|-|6|106.75
106.75|106.75|106.75|-|6|106.75
106.75|106.75|101.26|-|7|103
103.07|105.75|101.94|-|7|102.8
102.8|103.9|102.41|-|6|103
103|105.19|102.75|-|6|105
105|108|103.5|-|8|106.64
106.99|109.35|104.65|-|8|109
109.56|115|108|-|10|112.56
112.56|113.25|109|-|8|109.99
110|112.3|108.52|-|8|108.99
108.99|113.75|108.22|-|7|113.5
112.75|114.69|112|-|7|113.5
113.38|123.06|111.77|-|9|119
119|123.01|117.51|-|9|121.2
121.21|124.91|119.68|-|9|123.3
123.3|123.5|120.6|-|8|121.15
122|122|118.44|-|7|118.5
118.51|121.39|118.02|-|7|120.05
119.6|122.99|119.17|-|7|122.11
122.11|122.75|119.93|-|7|120.06
120.07|127.24|120.07|-|8|126.5
126.48|127.32|122.62|-|8|122.62
122.62|123.7|122.21|-|7|122.39
122.35|135.75|120.99|-|7|133.49
133.09|140.89|132.72|-|6|135.35
135.14|145.81|134.81|-|6|138.34
138.63|146.5|134.89|-|6|135.85
135.61|138.34|133|-|6|136.77
136.53|144.5|123.61|-|6|126.74
126.76|131.44|121.83|-|6|126.43
126.49|127.34|119.15|-|6|119.15
118.89|125.94|118.46|-|5|124.15
124.13|124.72|120.49|-|6|121.66
121.86|129.06|119.75|-|7|127.11
127.27|129.74|125.9|-|6|125.91
125.89|137.83|123.27|-|6|135.25
135.55|136.08|131.81|-|6|133.13
132.83|137.58|132.27|-|6|134.98
135.01|135.85|128.87|-|5|129.22
129.4|131.44|128.26|-|5|130.37
130.86|132.72|129.77|-|6|131.72
131.59|132.76|124.89|-|6|131.66
131.71|133.2|130.54|-|6|131.47
131.37|131.77|128.45|-|5|129.65
129.7|135.62|126.68|-|7|127.04
126.95|128.61|126.24|-|6|127.43
127.87|133.94|126.59|-|6|129.12
128.98|132.72|125.66|-|6|125.95
126.05|127.46|125.39|-|6|127.25
127.38|129.69|127.33|-|6|128.22
128.21|134.93|127.32|-|6|128.38
128.94|134.74|128.49|-|5|133.78
133.77|135.63|132.56|-|6|134.78
134.9|140.61|134.71|-|5|137.34
137.15|138.35|130.27|-|6|133
132.68|134.63|131.55|-|6|132.18
132.05|133.59|102.25|-|13|114.13
114.45|123.63|111.82|-|21|123.63
123.41|130.09|123.41|-|13|129.01
128.63|130.44|128.03|-|10|128.55
128.36|129.66|126.15|-|9|129
129.43|130.27|126.36|-|9|126.94
126.74|127.47|124.71|-|8|126
125.85|131.75|125.58|-|8|130.69
130.67|131.5|129.26|-|7|130.59
130.75|131.81|129.64|-|7|130.9
130.9|135.66|130.56|-|6|135.19
135.19|138.66|134.55|-|6|138.13
139.27|144.12|138.9|-|7|140.52
140.77|145.39|139.13|-|8|145.24
145.65|152.23|142.43|-|8|142.55
142.41|147.42|142.41|-|7|146.25
146.37|155.96|145.57|-|7|155.96
155.91|177.48|155.7|-|8|172.42
171.66|174.91|168.95|-|8|174.61
174.8|184.82|174.8|-|8|182.21
182.65|196.27|182.65|-|10|193.76
193.36|213.62|192.38|-|10|213.62
214.3|217.42|168.52|-|10|198.23
197.69|198.87|168.5|-|9|186.69
187.45|188.41|175.75|-|11|177.32
176.6|196.44|176.6|-|10|196.44
196.21|198.62|192.06|-|12|198.55
198.55|204.79|198.55|-|25|204.39
204.39|209.16|199.97|-|40|199.97
199.83|205.18|198.85|-|28|204
203.9|206.65|202.13|-|20|206.18
205.81|207.76|201.65|-|16|206.22
205.99|215.05|203.99|-|14|215.05
214.66|231.01|213.94|-|18|229.1
229.21|250.66|226.22|-|18|245.24
244.78|263|244.78|-|22|262.5
261.68|304.17|261.55|-|25|296.41
297.85|338.66|296.93|-|26|338.11
338.58|370.82|319.71|-|26|339.11
348.82|350.7|277.24|-|22|326.62
325.41|351.27|311.78|-|20|342.44
343.06|362.81|342.8|-|21|360.33
360.97|414.05|359.8|-|24|407.37
406.41|425.9|395.19|-|25|420.2
419.41|437.89|396.11|-|26|417.95
417.28|450.26|415.57|-|23|440.22
440.96|500.58|440.24|-|27|492.11
496.58|703.78|494.94|-|58|703.56
712.76|806.11|456.39|-|85|584.61
577.98|599.65|448.45|-|57|590.83
594.32|733.4|577.29|-|45|722.43
724.07|780.85|668.13|-|47|771.44
771.7|844.97|771.7|-|42|797.82
795.63|807.36|722.87|-|38|774.25
773.02|810.68|754.43|-|39|799.11
805.73|928.54|800.8|-|40|928.1
923.85|1001.96|891.68|-|66|1001.96
1003.38|1077.56|962.17|-|100|1031.95
1042.01|1146.97|1000.64|-|89|1131.97
1129.37|1156.14|1106.61|-|69|1129.43
1128.92|1133.08|801.82|-|60|955.85
951.42|1055.42|938.41|-|61|1043.33
1046.4|1096|1011.21|-|54|1078.28
1077.58|1156.12|1070.16|-|50|1151.17
1152.73|1154.36|897.11|-|71|1045.11
1042.38|1042.38|829.45|-|65|829.45
835.32|854.64|640.22|-|69|698.23
697.31|802.51|670.88|-|50|795.87
793.8|921.93|780.9|-|49|893.19
892.32|997.23|892.32|-|46|988.51
989.07|1001.58|834.23|-|44|878.48
882.78|901.94|844.95|-|40|873.26
874.98|941.79|860.05|-|42|892.58
899.85|904.65|858.36|-|35|872.6
875.29|886.16|825|-|37|876.12
880.33|882.25|668.25|-|43|705.97
706.37|754.83|630.88|-|42|682.12
678.2|679.32|420.51|-|76|522.7
519.06|707.23|502.89|-|52|691.96
694.22|729.16|595.33|-|37|625.32
619.9|654.27|579.17|-|35|605.66
601.78|666.74|585.64|-|35|617.18
613.06|680.91|611.04|-|33|673.41
672.36|684.39|645.71|-|31|665.58
666.31|682.7|649.48|-|28|682.21
683.94|777.75|683.94|-|29|761.98
763.28|777.51|713.6|46862700|29|735.07
737.98|747.06|705.35|32505800|28|727.83
728.05|748.61|714.44|19011300|26|745.05
741.35|766.6|740.24|20707700|27|756.13
760.32|760.58|738.17|20897300|26|754.01
754.97|775.35|754.97|22489400|29|771.4
773.44|820.31|767.21|38489500|32|802.39
802.85|834.15|789.12|37810100|35|818.72
823.27|859.51|801.67|38005000|30|859.51
858.55|952.4|854.52|72898500|34|933.53
936.05|1017.12|905.71|85565700|42|953.29
946.49|965.74|802|81311700|39|802
795.99|870.68|776.18|74175600|38|842.72
841.47|864.36|804.14|59998600|38|846.86
846.69|871.19|822.6|31876800|37|868.48
867.32|921.48|861.72|44754200|34|913.95
919.6|928.52|851.17|39623500|32|863.22
860.19|861.29|806.05|45580900|32|841.2
843.17|855.69|825.66|20829800|34|833.27
833.12|872.81|830.86|28107200|35|860.9
860.29|866.16|835.63|19149300|40|835.63
834.49|842.91|797.63|39031700|40|814.64
816.07|841.49|816.07|18052700|30|840
839.66|870.96|825.53|24365700|31|870.96
871.39|886.39|853.87|27652700|36|870.2
869.65|881.2|855.93|18997300|39|863.91
867.21|870.15|837.36|18453700|41|845.59
845.46|851.57|819.32|15607100|37|822.04
822.43|822.43|783.58|34912000|36|797.07
796.24|861.45|792.96|24303900|30|853.61
853.68|897.02|844.86|32224300|30|885.28
884.6|893|757.11|49233600|43|771.39
774.02|832.5|766.98|44875500|47|812.51
809.96|836.87|809.85|17984400|37|826
826.02|830.5|799.06|29918200|31|819.03
818.43|831.87|812.6|17107900|29|829.92
828.61|853.52|827.11|19668700|27|832.58
832.9|844.72|820.67|11300900|28|825.37
824.08|826.48|807.22|13940100|26|823.83
823.77|840.17|820.94|16609700|28|827.96
829.96|837.32|811.91|22395100|28|811.91
815.59|819.81|770.59|50108700|29|781.55
783.2|783.2|654.35|113643000|42|712.4
699.57|721.82|661.87|38742600|32|673.92
671.46|712.27|655.25|39311400|31|682.9
681.32|703.71|550.5|112758000|47|681.03
683.5|712.46|636.66|72745200|44|672.17
672.38|672.9|643.04|25367600|37|651.72
651.08|657.99|601.91|38588100|35|605.24
601.17|691.72|541.04|102506000|43|661.99
660.9|661.84|632.84|26709200|31|650.92
651.3|665.1|584.17|40061700|32|616.63
614.23|656.95|607.31|31948400|31|626.27
627.16|645.76|612.54|20015100|35|626.6
625.97|631.77|618.7|13897800|33|623.03
623.09|627.73|556.14|46905000|38|556.14
556.88|582.96|530.47|47308100|33|574.16
574.24|614.48|558.58|31254000|28|605.42
606.47|639.91|599.7|31434400|26|605.82
606.04|607.61|538.7|57893900|43|546.32
540.24|541.38|420.41|126314000|100|538.71
537.04|603.8|532.58|64642700|73|582.69
581.65|594.05|566.62|25540800|46|578.77
579.7|584.14|545.17|28076100|66|549.26
549.92|573.38|539.29|18668100|49|565.61
567.23|570.48|553.27|7950760|36|559.79
562.56|702.91|560.52|96056900|37|667.76
668.24|696.22|655.68|55344600|37|666.78
666.24|674.28|646.28|22461900|43|665.51
664.52|669.77|649.79|16068100|64|663.86
664.31|665.34|616.35|34150800|76|629.15
629.66|635.14|604.46|18654200|38|617.45
616.31|643.95|612.35|15396500|30|636.96
636.33|644.76|615.02|20639800|30|627.79
627.95|638.42|618.84|11732500|28|634.11
631.91|648.03|629.51|18621200|26|632.1
633.62|644.2|630.85|11634900|24|638.14
638.14|639.53|627.21|11913800|23|628.8
629.37|639.14|627.3|4342080|20|636.12
636.5|637.52|628.11|5277290|19|631.11
630.92|632.68|616.86|14648200|21|622.37
621.84|622.39|603.8|24011500|22|614.83
613.9|622|609.1|14228900|21|609.89
609.75|609.75|587.49|20572900|23|588.77
588.29|604.59|561.81|38414100|29|571.49
571.18|572.55|554.39|17360700|21|565.04
565.76|570.24|560.88|9288400|19|561.27
562.51|586.56|551.77|22706900|21|583.41
585.03|585.44|572.61|14020100|27|583.92
583.48|590.03|570.96|16401100|26|580.83
580.26|580.56|471.24|62225400|25|471.24
477.14|526.02|473.23|58828300|24|495.67
501.71|504.86|489.73|11147100|18|491.17
492.37|492.37|444.18|42958300|21|460.27
462.3|483.02|443.37|28254000|22|457
457|495.34|457|35685800|20|478.38
479.14|495.05|431.27|49647600|20|437.14
436.44|449.56|414.89|40765500|21|444.72
445.66|454.65|429.09|22925500|19|447.53
446.68|463.57|444.2|13404500|16|461.91
463.4|466.32|452.97|10241400|17|460.5
461.47|462.56|445.12|15616600|17|449.42
447.61|457.42|446.11|10921600|17|453.09
453.18|455.73|441.93|13204400|20|442.73
442.26|443.37|358.73|55868300|23|365.18
363.71|429.77|351.27|62562800|22|420.95
420.89|439.61|415.79|19226500|16|421.12
421.46|427.4|395.25|22493500|16|414.06
414.83|469.75|407.37|50730200|17|458.79
458.37|519|453.54|49561000|18|515.59
522.18|542.38|502.78|56480100|21|527.39
529.07|533.52|484.87|34025500|18|495.96
495.8|498.6|472.74|19042400|16|479.64
479.58|503.56|470.56|19588200|16|501.56
501.75|510.87|490.84|12103100|14|498.17
497.74|510.57|493.2|15171400|16|495.77
495.45|503.22|487.58|11670900|15|487.92
488.36|493.25|485.82|9814530|16|491.3
490.82|500.46|482.95|13009400|15|500.46
500.09|500.3|442.95|46856500|16|461.45
461.7|464.54|449.1|12214600|13|458.6
457.24|459.33|436.39|10949500|14|436.39
430.72|447.53|422.94|23876600|15|440.29
439.98|451.64|435.18|16401400|15|447.21
446.89|451.1|436.7|15244900|15|447.64
447.63|460.61|447.63|12871800|15|457.76
457.36|457.93|443.4|10394200|14|449.38
449.4|449.4|430.68|9849640|12|437.76
438.52|439.77|430.05|5621260|13|436.4
434.78|440.97|427.62|10004800|15|433.48
433.36|448.04|423.25|12507300|14|428.96
429.34|446.13|428.45|18332200|14|438.82
438.68|448.4|438.14|9446580|14|440.17
440.18|452.69|440.14|10347900|14|449.46
450.46|455.77|448.47|6682600|12|454.43
453.92|455.34|433.4|12251700|12|438.89
438.3|442.26|434.23|7383770|12|441.46
441.53|441.98|436.97|7682670|13|440.67
440.59|446.66|440.5|9472960|13|443.97
444.14|449.8|443.63|7362980|13|447.25
447.39|450.66|444.96|6475100|14|448.06
448.12|451.98|447.3|2945790|12|448.9
448.7|449.77|444.78|2857830|12|446.26
446.08|447.56|443.1|6242620|13|446.18
446.31|491.44|446.01|40327500|14|485.72
485.8|494.37|483.49|14626000|14|491.77
492.05|525.36|490.19|33086500|15|524.58
525.72|541.96|520.08|34934700|14|520.22
521.05|525.17|516.28|11499300|12|525.14
525.23|576.48|525.23|47010300|15|571.59
571.39|588.39|565.33|29959800|16|583.42
582.59|589.52|554.43|38032000|16|571.24
571.91|578.62|564.09|19289000|17|577.06
576.33|577.1|561.6|18707800|16|568.18
568.18|618.46|568.16|31985400|17|615.33
615.69|624.72|604.47|15107100|15|623.68
623.69|671.51|619.91|45259100|15|630.23
629.64|665.5|618.75|45450200|55|660.62
660.55|674.11|650.78|40653700|63|667.61
666.77|668.56|624.09|37731500|59|641.61
641.07|663.53|640.09|29621300|57|659.26
659.28|661.37|652.3|18680100|49|653.7
653.52|656.94|644.91|15855300|44|654.97
654.99|658.88|653.47|8614190|46|656.14
655.64|657.7|644.39|19065400|46|649.16
650.04|659.62|646.56|17913400|52|653.15
653.19|657.04|632.55|25163800|58|633.02
633.43|638.11|573.27|50818800|64|586.95
585.7|615.14|585.7|35700700|69|600.16
600.75|601.27|549.82|38481200|53|577.36
575.93|592.94|554.89|23580900|52|592.94
592.65|608.72|587.07|28677500|59|592.19
591.59|610.89|590.4|18597300|57|610.86
609.77|615.88|604.4|17862000|56|607.96
608.07|612.24|597.02|12803800|53|598.07
597.4|599.75|587.76|18134100|50|594.15
593.68|599.46|587.74|9256290|41|594.99
595.9|606|594.63|10877700|46|602.27
602.16|603.21|586.34|14053800|45|593.98
593.97|596.97|582.36|14144900|42|582.36
581.81|583.6|565.63|20687700|45|566.34
566.14|581.63|564.73|14655900|43|581.14
581.3|600.12|579.88|20814600|51|597.26
599.08|604.47|595.92|13398100|45|596.55
596.33|604.08|596.16|8897470|44|602.72
602.62|645.15|599.88|46422400|53|639.8
641.39|657.86|640.11|38446300|56|640.81
641.04|656.68|638.34|25768200|56|650.88
650.77|650.77|641.3|18949000|51|645.16
644.65|648.43|629.4|22237200|46|630.69
629.95|633.22|628|9105940|41|631.46
631.77|638.65|631.16|10080000|48|635.81
635.46|637.16|617.01|17813600|52|624.09
622.57|626.7|620.91|10005500|46|624.82
625.22|627|622.6|9819150|44|624.51
624.83|626.12|612.35|15880700|47|616.76
616.66|632.09|615.77|16467100|50|632
631.88|636.66|626.98|13329000|44|633.71
634.22|634.73|624.91|11291000|42|626.5
626.56|627.34|617.32|12706800|43|619.32
620|625.14|619.63|10873200|46|621.59
622.01|623.09|615.33|13182400|56|616.8
616.54|626.29|608.4|16576700|52|623.09
622.37|629.21|620.47|14158100|49|628.78
629.17|629.17|624.6|7222030|51|628.51
628.56|628.56|622.77|5760120|45|623.9
623.95|624.09|619.11|10711900|45|622.21
622.27|624.3|620.96|9602880|49|621.55
621.12|624.43|618.29|11056600|47|619.41
619.5|620.43|595.57|20917200|47|601.73
601.51|607.07|597.23|12279500|44|601.09
601.54|602.09|593.96|10752900|42|595.81
595.67|598.94|593.43|7774230|42|593.85
594.14|594.57|575.18|19316400|48|585.69
585.55|588.38|581.7|11275400|46|584.73
584.74|585.12|564.9|14898800|48|567.29
567.37|586.24|564.51|22467900|49|586.24
586.2|597.92|583.63|18215900|44|594.92
594.9|594.91|586.15|8359080|41|589.33
588.89|589.15|581.65|9917990|42|586.67
586.23|591.95|583.74|9867570|43|588.78
589.01|589.87|584.1|10790800|47|585.44
585.95|587.49|583.1|14497900|53|584.65
584.65|591.1|584.05|11131400|52|588.87
588.88|598.12|588.79|11072000|44|592.58
592.47|592.47|587.63|7922070|42|589.37
589.17|594.46|587.94|7555310|45|591.06
591.28|591.51|574.05|14764200|48|576.37
576.51|576.95|566.6|13978200|50|569.64
570.38|573.03|532.67|25777500|70|546.66
546.18|546.24|498.73|35803900|60|505.97
511.14|518.18|487.93|25598300|59|497.01
497.83|521.48|487.74|22832500|58|519.71
519.14|520.19|483.63|24300900|50|491.8
491.51|499.37|443.85|50783800|60|461.46
461.48|485.71|455.54|38422400|56|485.25
485.07|518.28|467.51|46527600|55|511.98
510.45|531.9|510.45|49444200|50|517.24
517.58|521.48|501.27|36563900|49|514.04
513.39|514.3|492.11|25171900|45|498.07
498.29|512.89|497.35|19441700|42|508.29
508.22|508.22|499.23|18356700|43|502.5
502.54|512.69|502.54|23235100|47|511.57
512.19|520.71|510.92|22648500|43|511.15
510.88|516.16|506.88|19862000|45|507.81
508.43|511.69|503.82|17624800|43|508.52
508.59|509.31|501.64|9424070|43|504.25
502.9|504.88|474.81|44632300|47|477.76
477.79|485.31|471.91|20432000|53|474.88
474.48|482.99|472.32|23337900|51|477.43
476.87|481.71|476.21|13342200|50|477.59
477.68|493.93|477.09|26081400|51|489.66
489.67|490.64|481.61|15302500|49|483.34
483.34|488.6|483|10601400|46|484.83
485.13|488.07|482.28|8994050|43|482.28
481.81|489.83|468.79|30238000|46|474.6
474.88|477.38|467.78|21447800|55|475.26
475.48|487.47|475.14|22787800|62|479.36
479.62|482.35|474.61|16852900|66|479.75
479.58|479.63|473.01|15437200|52|477.75
477.79|482.12|475.1|15588000|43|479
479.12|479.85|476.12|13105500|46|477.89
477.76|478.62|474.02|15345200|50|475.37
474.86|475.64|465.13|16797300|46|466.06
465.86|468.17|452.42|21056800|46|457.33
456.86|456.86|413.1|34483200|50|424.44
424.1|427.83|384.53|37919700|56|394.8
394.67|423.3|389.88|36863600|47|408.9
408.08|412.43|393.18|26580100|47|398.82
399.1|406.92|397.13|24127600|47|402.15
402.09|441.56|396.2|45099500|55|435.79
435.75|436.11|421.13|30627700|60|423.2
423.16|423.52|409.47|26814400|49|411.57
411.43|414.94|400.01|21460800|44|404.43
403.56|406.62|397.37|15029300|42|399.52
399.47|401.02|374.33|23613300|45|377.18
376.93|385.21|372.24|32497700|52|375.47
376.09|390.98|373.44|34707300|52|386.94
387.43|391.38|380.78|26229400|48|383.62
383.99|385.5|372.95|21777700|47|375.07
375.18|377.69|357.86|30901200|50|359.51
359.89|364.49|325.89|47236500|53|328.87
328.92|341.8|289.3|83308100|61|320.51
320.39|345.13|302.56|79011800|67|330.08
330.58|339.25|320.48|49199900|57|336.19
336.12|354.36|327.19|54736300|57|352.94
352.75|382.73|347.69|83641100|55|365.03
364.69|375.07|352.96|43665700|52|361.56
361.36|367.19|355.95|13345200|47|362.3
362.61|379.43|356.14|17552800|45|378.55
377.92|397.23|368.9|35221400|48|390.41
391.69|411.7|391.32|38491500|54|400.87
400.95|402.23|388.77|25267100|51|394.77
394.52|398.81|373.07|26990000|47|382.56
382.76|385.48|375.39|13600700|47|383.76
383.98|395.16|378.97|11416800|44|391.44
391.25|393.94|386.46|5914570|41|389.55
389.23|390.08|378.25|16419000|43|382.85
382.42|392.65|380.83|14188900|45|386.48
386.12|388.58|382.25|11641300|43|383.16
382.96|385.05|356.45|26456900|45|358.42
358.59|364.35|353.31|15585700|44|358.35
358.61|359.86|342.88|18127500|41|347.27
347.49|359.22|343.93|11272500|42|354.7
354.78|358.63|349.81|13033000|41|352.99
353.21|359.98|352.68|7845880|44|357.62
357.09|357.83|335.34|18192700|44|335.59
335.71|350.91|335.07|30177900|43|345.31
345.01|348.05|337.14|12545400|38|338.32
338.65|340.53|321.06|16677200|41|325.75
326.07|329.05|320.63|8603620|40|325.89
325.57|334|325.48|12948500|43|327.55
327.16|331.77|325.08|15655500|42|330.49
330.68|343.37|330.68|19817200|44|339.49
339.46|352.97|338.42|18797000|51|349.29
349.82|352.73|341.78|16834200|48|342.42
342.15|347.03|342.15|8535470|45|345.49
345.38|363.63|344.25|24205600|46|363.26
362.26|374.82|357.56|30450100|53|366.92
365.86|371.31|363.74|15838900|49|367.69
367.99|429.72|367.99|45783200|55|423.56
427.27|457.09|401.12|58945000|60|420.74
418.42|419.25|384.79|29589200|52|397.82
399.65|405.53|371.01|15727500|47|376.13
374.73|390.8|374.6|11905600|46|387.88
388.35|410.2|377.5|41518800|47|387.41
387.79|392.4|371.12|32222500|50|375.2
373.9|386.48|373.9|18931800|46|380.56
380.31|382.02|356.78|25233200|45|357.84
357.88|357.88|344.11|29850100|43|350.85
351.6|364.84|350.88|15273000|42|352.92
353.18|370.85|353.18|15151600|40|367.57
366.95|387.21|366.67|30930100|45|376.9
376.89|394.7|374.78|25442200|43|375.35
376.02|377.7|365.82|18601700|43|368.37
370.5|373.99|368.28|8748030|41|369.67
369.37|382.84|358.45|22946500|40|376.45
376.15|387.6|372.14|15375600|38|375.49
375.51|382.53|373.31|9194440|38|378.05
378.25|383.66|376.67|11763000|42|379.25
379.25|384.04|377.86|12364100|46|381.31
381.72|383.03|374.35|13340100|45|375.01
375.72|378.65|367.76|14529600|44|369.6
369.44|379.19|365.76|15181800|41|376.85
376.76|378.45|370.94|7009320|40|374.79
374.84|376.29|373.27|6491650|44|375.1
374.96|376.03|361.89|18898700|47|361.91
361.89|363.07|344.95|32915500|44|352.22
352.2|352.38|346.37|16427700|45|346.37
344.34|361.36|338.76|32431300|63|350.51
350.83|352.98|349.29|16989800|57|352.54
352.38|352.38|346.59|11675900|48|347.38
346.73|353.32|345.42|12415200|45|351.63
351.36|351.81|344.93|17264200|47|345.35
345.67|345.86|327.06|30864900|54|327.06
326.86|333.95|315.15|37567900|53|319.78
319.79|323.71|304.23|39173000|52|311.4
311.18|318.53|306.77|23823100|44|317.84
317.62|330.32|316.04|20856700|42|329.96
329.54|329.63|318.9|15207600|46|320.84
321.07|334.12|320.43|22315100|45|331.89
332.02|336.29|329.6|16574200|45|334.57
334.38|334.74|321.36|15092300|42|322.53
322.29|322.67|316.96|9883640|44|319.01
319.15|331.42|316.63|16410500|51|327.92
327.58|328.91|312.63|15185200|100|315.86
316.16|320.03|311.08|11676600|44|317.24
